,Number,Score,Rank
0,0,0.10619,19.0
1,1,0.0407,39.0
2,2,0.01407,58.0
3,3,0.17188,6.0
4,4,0.07912999999999999,26.0
5,5,0.10585,20.0
6,6,0.10572000000000001,21.0
7,7,0.10937999999999999,18.0
8,8,0.034339999999999996,43.0
9,9,0.02652,48.0
10,10,0.024669999999999997,50.0
11,11,0.02808,45.0
12,12,0.06808,30.0
13,13,0.05998,34.0
14,14,0.07824,28.0
15,15,0.015030000000000002,55.0
16,16,0.0788,27.0
17,17,0.05895,35.0
18,18,0.12197999999999999,15.0
19,19,0.08548,25.0
20,20,0.04133,38.0
21,21,0.14689000000000002,9.0
22,22,0.053320000000000006,36.0
23,23,0.02336,51.0
24,24,0.15016,8.0
25,25,0.02922,44.0
26,26,0.03992,40.0
27,27,0.09724,22.0
28,28,0.050839999999999996,37.0
29,29,0.06786,31.0
30,30,0.02139,53.0
31,31,0.08722,24.0
32,32,0.24386999999999998,1.0
33,33,0.17475,5.0
34,34,0.01439,57.0
35,35,0.03467,42.0
36,36,0.12237,14.0
37,37,0.12569,12.0
38,38,0.12794,11.0
39,39,0.22504000000000002,2.0
40,40,0.06573,33.0
41,41,0.03635,41.0
42,42,0.006529999999999999,60.0
43,43,0.14274,10.0
44,44,0.06631000000000001,32.0
45,45,0.12547,13.0
46,46,0.02531,49.0
47,47,0.07701000000000001,29.0
48,48,0.016640000000000002,54.0
49,49,0.02738,47.0
50,50,0.010409999999999999,59.0
51,51,0.19907,3.0
52,52,0.027780000000000003,46.0
53,53,0.15097,7.0
54,54,0.11239,17.0
55,55,0.02256,52.0
56,56,0.09511,23.0
57,57,0.11590999999999999,16.0
58,58,0.18228,4.0
59,59,0.014519999999999998,56.0
