nondirect	 ¶ VIII ¶ Le matin du jour où Fabien d'Asmolles et Roland de Clayet s'étaient, à la suite de mots peu courtois échangés dans leur rencontre aux Champs-Élysées, donné rendez-vous pour le lendemain, un petit homme ventru, chauve, portant lunettes, rigoureusement vêtu de noir et cravaté de blanc, portant sous le bras un large portefeuille en maroquin et ayant toute l'allure de l'homme d'affaires, descendit d'un coupé de louage rue Saint-Florentin, à la porte du numéro 18.
nondirect	 ¶ Le concierge, appuyé sur son balai d'un air magistral, se trouvait sur le seuil.
nondirect	 Quand il vit le petit homme décidé à le franchir, il le regarda curieusement d'abord, puis d'un air assez dédaigneux, et comme s'il se fût demandé chez lequel de ses aristocratiques locataires pouvait aller un personnage aussi malpropre ; celui-ci le regarda par-dessus ses lunettes.
directspeech	 ¶ -- Mademoiselle de Chamery est-elle chez elle ?
directspeech	 ¶ -- Oui, monsieur.
nondirect	 ¶ Et le concierge salua aussi respectueusement l'individu crasseux et vêtu de noir qu'il l'avait tout à l'heure toisé d'une façon presque impertinente.
directspeech	 ¶ -- À quel étage ?
directspeech	 ¶ -- Au premier, à droite.
nondirect	 ¶ Le petit homme monta et mit la main sur le bouton de cristal de la sonnette.
nondirect	 ¶ L'escalier soigneusement frotté, la porte à deux vantaux, sur le seuil de laquelle le visiteur s'était arrêté, la belle apparence de la maison, tout semblait annoncer que celle qui se faisait appeler mademoiselle de Chamery était dans une situation sinon opulente, du moins très aisée.
nondirect	 ¶ Un petit groom à bottes à revers et à gilet rouge vint ouvrir, et, comme le concierge, toisa l'homme à la cravate blanche.
directspeech	 ¶ -- Mademoiselle n'est pas visible ; revenez à trois heures. Il ne fait pas jour chez elle avant midi.
directspeech	 Il ne fait pas jour chez elle avant midi.
directspeech	 ¶ -- Pardon, pardon
directspeech	, répondit le visiteur d'un ton d'autorité ; faites passer ma carte à mademoiselle de Chamery et vous verrez qu'elle me recevra.
nondirect	 ¶ Le groom le toisa de nouveau.
directspeech	 ¶ -- Seriez-vous M. Rossignol ?
nondirect	 lui demanda-t-il.
directspeech	 ¶ -- Précisément.
directspeech	 ¶ -- Alors, entrez. J'ai des ordres.
directspeech	 J'ai des ordres.
nondirect	 ¶ Le groom conduisit M. Rossignol au salon, souleva une portière et disparut.
nondirect	 ¶ Un instant après, l'homme d'affaires, -- c'en était un, -- entendit ouvrir les croisées d'une pièce voisine, des rideaux jouer sur leur tringle, et une voix de femme qui disait : 
directspeech	-- Justine, donne-moi ma pelisse et fais entrer M. Rossignol.
nondirect	 ¶ Deux minutes après, une jeune et jolie femme de chambre souleva la portière derrière laquelle le groom avait disparu, fit un signe à M. Rossignol, qui se leva, et l'introduisit dans une chambre à coucher tendue en velours bleu encadré de minces baguettes dorées, meublée avec un luxe délicat, et au fond de laquelle l'homme d'affaires aperçut mademoiselle de Chamery dans son lit mais sur son séant et les épaules chaudement enveloppées dans une pelisse de martre-zibeline.
nondirect	 De la main elle indiqua un fauteuil roulé à son chevet.
nondirect	 ¶ Quand M. Rossignol y eut pris place avec ce sans-gêne des gens qui passent les deux tiers de leur vie dans la chicane, elle congédia d'un geste Justine et le groom qui venait d'allumer le feu de madame.
directspeech	 ¶ -- Je n'y suis pas
nondirect	, dit-elle.
directspeech	 ¶ -- Pour personne ?
nondirect	 demanda Justine.
directspeech	 ¶ -- Pour personne au monde.
directspeech	 ¶ -- Pas même pour M. le baron ?
directspeech	 ¶ -- S'il vient, tu le prieras d'attendre.
nondirect	 ¶ La camérière et le groom sortirent.
directspeech	 ¶ -- Maintenant, monsieur Rossignol,
directspeech	 dit mademoiselle de Chamery, nous pouvons causer.
nondirect	 ¶ Le petit homme s'inclina.
directspeech	 ¶ -- Il est certain
directspeech	, dit-il, que le sens du billet de mademoiselle laisse assez entrevoir qu'elle a des choses graves à me confier.
nondirect	 ¶ Et il se réinstalla commodément dans son fauteuil.
directspeech	 ¶ -- Monsieur Rossignol,
directspeech	 reprit mademoiselle de Chamery, vous êtes à la tête d'une agence de recouvrement, d'achat de créances véreuses, de procès compromis ou abandonnés, n'est-ce pas ?
directspeech	 ¶ -- C'est-à-dire,
directspeech	 répliqua M. Rossignol sans paraître blessé le moins du monde du ton méprisant avec lequel mademoiselle de Chamery avait défini sa profession, c'est-à-dire que je suis le directeur de la Société mutuelle et judiciaire d'assurances contre la perte des créances.
nondirect	 ¶ Le petit homme prononça ces mots avec emphase.
directspeech	 ¶ -- Soit,
directspeech	 dit mademoiselle de Chamery, je ne discute point la valeur réelle des mots, et ce n'est pas pour cela que je vous ai fait venir.
directspeech	 ¶ -- Vous m'avez fait l'honneur de m'écrire, hier, pour m'assigner un rendez-vous ici, entre neuf et dix, me disant que vous vouliez charger la Société que je dirige d'une affaire importante.
directspeech	 ¶ -- Non pas votre Société, mais vous.
directspeech	 ¶ -- Moi ?
directspeech	 ¶ -- Monsieur Rossignol,
directspeech	 dit froidement mademoiselle de Chamery, vous êtes de Blois, n'est-ce pas ?
nondirect	 ¶ M. Rossignol tressaillit.
directspeech	 ¶ -- Vous y avez été premier clerc chez Me Corbon, notaire de la famille de Chamery ?
directspeech	 ¶ -- Oui, mademoiselle,
nondirect	 répondit M. Rossignol un peu confus.
directspeech	 ¶ -- Quelques détournements vous ont fait congédier, l'année, je crois, où mourut la marquise douairière de Chamery ?
directspeech	 ¶ -- Votre mère
nondirect	, dit M. Rossignol avec aplomb.
directspeech	 ¶ -- Précisément.
nondirect	 ¶ Et mademoiselle de Chamery regarda froidement l'homme d'affaires.
directspeech	 ¶ -- Venu à Paris,
directspeech	 poursuivit-elle, vous y avez fait un peu tous les métiers, changé de nom quelquefois. Quelquefois aussi, vous avez subi des condamnations...
directspeech	 Quelquefois aussi, vous avez subi des condamnations...
directspeech	 ¶ -- Mademoiselle...
directspeech	 ¶ -- Mais comme vous êtes un homme intelligent, vous avez fini par vous tirer d'affaire, et aujourd'hui M. Rossignol, autrefois maître Jules Malouin, est aux yeux de la justice un homme irréprochable, bien plus, un homme réputé pour son habileté à débrouiller les affaires les plus compliquées et les plus épineuses.
nondirect	 ¶ M. Rossignol avait tranquillement écouté mademoiselle de Chamery.
nondirect	 Quand elle eut fini, il répondit : 
directspeech	-- Puisque vous me connaissez aussi bien, mademoiselle, permettez-moi de vous prouver que j'ai pareillement quelques données sur votre propre existence.
directspeech	 ¶ -- Faites
nondirect	, dit-elle avec indifférence.
directspeech	 ¶ -- Vous êtes la fille naturelle de M. Brunot, avocat, et de madame de Chamery, veuve depuis six années, à l'époque de votre naissance.
directspeech	 ¶ -- Après, maître Rossignol ?
directspeech	 ¶ -- Vous avez été élevée au château de l'Orangerie d'abord comme orpheline, puis le marquis Hector de Chamery a toléré que sa mère vous appelât sa fille.
directspeech	 ¶ -- Bien. Ensuite ?
directspeech	 Ensuite ?
directspeech	 ¶ -- Le marquis mort, sa fortune a passé au colonel comte de Chamery, son cousin. Le marquis Hector vous détestait.
directspeech	 Le marquis Hector vous détestait.
directspeech	 ¶ -- C'est vrai.
directspeech	 ¶ -- La marquise votre mère n'a pu vous laisser en mourant que cent cinquante mille francs, fruit de ses économies, et ses diamants. Mais le comte de Chamery vous a assuré, en prenant possession de l'héritage et devenant marquis, une pension viagère de douze mille livres.
directspeech	 Mais le comte de Chamery vous a assuré, en prenant possession de l'héritage et devenant marquis, une pension viagère de douze mille livres.
directspeech	 ¶ -- Vous êtes bien renseigné, monsieur Rossignol.
directspeech	 ¶ -- Attendez donc,
directspeech	 fit le petit homme avec insolence, je sais bien d'autres choses encore...
directspeech	 ¶ -- Voyons ?
directspeech	 ¶ -- Ainsi, c'est à tort que vous portez le nom de Chamery, qui ne vous appartient pas. Vous jouissez d'un revenu de dix-neuf mille livres de rente environ, et, à la mort de madame votre mère, -- vous aviez alors quinze ans, -- vous auriez pu trouver à vous marier fort convenablement. Vous avez préféré mener une vie un peu aventureuse.
