idno,words,sents,mean,median,stdev,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,narration,decade-pub
rv0126,17079,655,26.07,25,13.8907039238,rv0126,Echenoz,male,UnAn,1975,narrative,novel,blanche,blanche,n.av.,1970s
rv0166,192174,6031,31.86,22,31.4695533707,rv0166,Perec,male,Vie,1978,narrative,novel,blanche,blanche,n.av.,1970s
rv0179,63089,2335,27.02,14,85.0799930205,rv0179,Beckett,male,Innommable,1953,narrative,novel,blanche,blanche,n.av.,1950s
rv0180,52429,2861,18.33,13,17.6397802263,rv0180,Beckett,male,Malone,1951,narrative,novel,blanche,blanche,n.av.,1950s
rv0181,36134,3625,9.97,7,10.2710344374,rv0181,Beckett,male,MercierCamier,1970,narrative,novel,blanche,blanche,n.av.,1970s
rv0182,82655,5108,16.18,12,14.6393124521,rv0182,Beckett,male,Molloy,1951,narrative,novel,blanche,blanche,n.av.,1950s
rv0183,65056,4178,15.57,12,13.7703014953,rv0183,Beckett,male,Murphy,1947,narrative,novel,blanche,nouveau-roman,heterodiegetic,1940s
rv0184,113049,1936,58.39,16,102.7162953388,rv0184,Simon,male,Histoire,1967,narrative,novel,blanche,blanche,n.av.,1960s
rv0185,62588,1812,34.54,27,31.1067908687,rv0185,Simon,male,Tryptique,1973,narrative,novel,blanche,blanche,n.av.,1970s
rv0187,59693,732,81.55,12,154.1898416779,rv0187,Simon,male,Palace,1962,narrative,novel,blanche,blanche,n.av.,1960s
rv0189,72513,2231,32.50,17,74.8396155627,rv0189,Simon,male,Bataille,1969,narrative,novel,blanche,blanche,n.av.,1960s
rv0190,62481,1227,50.92,8,144.9332153454,rv0190,Simon,male,Herbe,1958,narrative,novel,blanche,blanche,n.av.,1950s
rv0192,95070,1281,74.22,12,175.7272177599,rv0192,Simon,male,RouteFlandres,1960,narrative,novel,blanche,blanche,n.av.,1960s
rv0195,37341,1860,20.08,17,14.5643974382,rv0195,RobbeGrillet,male,Jalousie,1957,narrative,novel,blanche,blanche,n.av.,1950s
rv0196,43993,3225,13.64,9,14.590619425,rv0196,RobbeGrillet,male,Marienbad,1961,narrative,film-script,blanche,n.av.,n.av.,1960s
rv0198,49968,1674,29.85,22,28.1063442257,rv0198,RobbeGrillet,male,Souvenirs,1978,narrative,novel,blanche,blanche,n.av.,1970s
rv0199,75782,3750,20.21,17,15.490650315,rv0199,RobbeGrillet,male,Voyeur,1953,narrative,novel,blanche,blanche,n.av.,1950s
rv0200,54953,5836,9.42,8,7.4423075383,rv0200,BoilNarc,male,EtMonTout,1965,narrative,novel,blanche,blanche,n.av.,1960s
rv0203,29599,1403,21.10,14,21.7677892256,rv0203,Perec,male,Choses,1965,narrative,novel,blanche,blanche,heterodiegetic,1960s
rv0211,48699,3069,15.87,14,11.1131441416,rv0211,Audoux,female,DouceLumiere,1937,narrative,novel,blanche,blanche,heterodiegetic,1930s
rv0212,39489,3462,11.41,8,10.8846849096,rv0212,Duras,female,Ravissement,1964,narrative,novel,blanche,blanche,n.av.,1960s
rv0213,88579,6587,13.45,11,10.2600957838,rv0213,Duras,female,BarragePacifique,1950,narrative,novel,blanche,blanche,n.av.,1950s
rv0214,19372,1712,11.32,9,8.4105266463,rv0214,Duras,female,ModeratoCantabile,1958,narrative,novel,blanche,nouveau-roman,heterodiegetic,1950s
rv0217,17602,2912,6.04,5,4.5810091004,rv0217,Duras,female,Detruire,1969,narrative,novel,blanche,blanche,n.av.,1960s
rv0218,57875,5544,10.44,9,7.1840561575,rv0218,Duras,female,PetitsChevaux,1953,narrative,novel,blanche,blanche,n.av.,1950s
rv0219,112713,10296,10.95,9,8.3912345275,rv0219,Duras,female,MarinGibraltar,1952,narrative,novel,blanche,blanche,n.av.,1950s
rv0220,51334,3844,13.35,12,8.5458520026,rv0220,Duras,female,VieTranquille,1944,narrative,novel,blanche,blanche,n.av.,1940s
rv0221,48064,3598,13.36,10,11.4504211148,rv0221,Duras,female,JourneesEntieres,1954,narrative,novel,blanche,blanche,n.av.,1950s
rv0223,33287,2098,15.87,12,12.6690920385,rv0223,Bernanos,male,Mouchette,1937,narrative,novel,blanche,blanche,n.av.,1930s
rv0225,60390,3888,15.53,12,14.2159990424,rv0225,Bernanos,male,MauvaisReve,1950,narrative,novel,blanche,blanche,n.av.,1950s
rv0233,34938,3201,10.91,9,8.1661846659,rv0233,Modiano,male,Boulevards,1972,narrative,novel,blanche,blanche,n.av.,1970s
rv0236,46822,4510,10.38,8,9.1501215759,rv0236,Modiano,male,RueBoutiques,1978,narrative,novel,blanche,blanche,n.av.,1970s
rv0240,45898,3878,11.84,9,9.3386109168,rv0240,Modiano,male,VillaTriste,1975,narrative,novel,blanche,blanche,n.av.,1970s
rv0436,91369,6507,14.04,10,13.3937297016,rv0436,Renard,male,MaitreLumiere,1933,narrative,novel,blanche,blanche,n.av.,1930s
rv0487,165451,11728,14.11,11,11.9044622541,rv0487,Giono,male,HussardToit,1951,narrative,novel,blanche,adventure,heterodiegetic,1950s
rv0488,64101,4154,15.43,11,15.0210797885,rv0488,Giono,male,RoiSansDivertissement,1947,narrative,novel,blanche,blanche,n.av.,1940s
rv0489,67528,6348,10.64,8,9.7543607189,rv0489,Giono,male,GrandTroupeau,1931,narrative,novel,blanche,blanche,n.av.,1930s
rv0490,81243,8106,10.02,8,9.0929682246,rv0490,Giono,male,ChantMonde,1934,narrative,novel,blanche,blanche,n.av.,1930s
rv0491,97516,7803,12.50,9,12.5752620359,rv0491,Malraux,male,ConditionHumaine,1933,narrative,novel,blanche,blanche,n.av.,1930s
rv0492,153343,11602,13.22,10,11.9722534063,rv0492,Malraux,male,Espoir,1937,narrative,novel,blanche,blanche,n.av.,1930s
rv0493,73094,6369,11.48,9,8.5555892009,rv0493,Giono,male,GrandsChemins,1951,narrative,novel,blanche,blanche,n.av.,1950s
rv0494,58226,3631,16.04,12,14.8163953196,rv0494,Malraux,male,NoyersAltenburg,1943,narrative,novel,blanche,blanche,n.av.,1940s
rv0495,135163,6571,20.57,18,15.6363371141,rv0495,Tournier,male,RoiAulnes,1970,narrative,novel,blanche,blanche,n.av.,1970s
rv0496,71013,3617,19.63,18,13.7409799208,rv0496,Tournier,male,Vendredi,1967,narrative,novel,blanche,blanche,n.av.,1960s
rv0497,172424,9483,18.18,15,14.0463011386,rv0497,Tournier,male,Meteores,1975,narrative,novel,blanche,blanche,n.av.,1970s
rv0499,77492,3925,19.74,17,13.9892327129,rv0499,Tournier,male,Gaspard,1980,narrative,novel,blanche,blanche,n.av.,1980s
rv0500,112942,22225,5.08,4,4.4762311982,rv0500,Celine,male,ChateauLAutre,1957,narrative,novel,blanche,blanche,n.av.,1950s
rv0501,89010,17721,5.02,4,5.0990623645,rv0501,Celine,male,GuignolsBand1,1944,narrative,novel,blanche,blanche,n.av.,1940s
rv0502,193565,13743,14.08,11,12.4451516776,rv0502,Celine,male,VoyageNuit,1932,narrative,novel,blanche,blanche,n.av.,1930s
rv0503,149149,27539,5.42,4,5.0888473518,rv0503,Celine,male,Nord,1960,narrative,novel,blanche,blanche,n.av.,1960s
rv0504,36777,2781,13.22,10,11.994305059,rv0504,Giono,male,SolitudePitie,1932,narrative,novel,blanche,blanche,n.av.,1930s
rv0505,74002,6428,11.51,9,10.7595343774,rv0505,Giono,male,DeuxCavaliersOrage,1965,narrative,novel,blanche,blanche,n.av.,1960s
rv0506,88345,1848,47.81,30,54.9306196557,rv0506,Butor,male,Modification,1957,narrative,novel,blanche,blanche,n.av.,1950s
rv0525,231507,31471,7.36,6,5.6984338692,rv0525,Celine,male,MortCredit,1936,narrative,novel,blanche,blanche,n.av.,1930s
rv0536,180020,35967,5.01,4,4.4784667464,rv0536,Celine,male,GuignolsBand2,1944,narrative,novel,blanche,blanche,n.av.,1940s
rv0537,59568,3772,15.79,13,12.3308604199,rv0537,Giono,male,Angelo,1958,narrative,novel,blanche,blanche,n.av.,1950s
rv0538,36225,4045,8.96,7,7.9651277983,rv0538,VianSullivan,male,EllesPasCompte,1950,narrative,novel,policier,noir,homodiegetic,1950s
rv0539,51278,5073,10.11,8,8.5112928482,rv0539,VianSullivan,male,OnTueraAffreux,1948,narrative,novel,policier,other,n.av.,1940s
rv0540,35842,3206,11.18,8,9.9525780451,rv0540,VianSullivan,male,JiraiCracher,1946,narrative,novel,policier,noir,homodiegetic,1940s
rv0541,54241,5565,9.75,7,10.5161344902,rv0541,Vian,male,ArracheCoeur,1953,narrative,novel,blanche,blanche,n.av.,1950s
rv0542,71081,7728,9.20,6,9.3073142136,rv0542,Vian,male,AutomnePekin,1947,narrative,novel,blanche,blanche,n.av.,1940s
rv0543,53623,5588,9.60,7,9.18129844,rv0543,Vian,male,EcumeJours,1947,narrative,novel,blanche,blanche,n.av.,1940s
rv0544,39919,3723,10.72,8,10.0110176221,rv0544,Vian,male,HerbeRouge,1950,narrative,novel,blanche,blanche,n.av.,1950s
rv0545,32538,3574,9.10,7,7.5698441642,rv0545,VianSullivan,male,MortMemePeau,1947,narrative,novel,policier,noir,homodiegetic,1940s
rv0546,97954,8304,11.80,8,14.1818054692,rv0546,Queneau,male,Chiendent,1933,narrative,novel,blanche,blanche,n.av.,1930s
rv0547,38431,3140,12.24,9,11.0059535401,rv0547,Queneau,male,Odile,1937,narrative,novel,blanche,blanche,autodiegetic,1930s
rv0549,61384,5904,10.40,7,10.5624625168,rv0549,Queneau,male,FleursBleues,1965,narrative,novel,blanche,other,heterodiegetic,1960s
rv0550,29493,2703,10.91,8,10.3256751486,rv0550,Queneau,male,RudeHiver,1939,narrative,novel,blanche,blanche,n.av.,1930s
rv0552,54618,4567,11.96,8,12.0866735647,rv0552,Queneau,male,PierrotMonAmi,1942,narrative,novel,blanche,blanche,n.av.,1940s
rv0553,100432,7199,13.95,9,16.3238538001,rv0553,Queneau,male,EnfantsLimon,1938,narrative,novel,blanche,blanche,n.av.,1930s
