idno,author,author-gender,title,pub-year,creation,genre,subgenre,series,words,sents,mean,median,stdev
fr0001,Simenon,male,AbriNotreArbre,1977,1976,essay,autobiography,dicts,41786,2237,18.6794814484,16,12.9371643998
fr0002,Simenon,male,AQuoiBonJurer,1979,1977,essay,autobiography,dicts,38984,2670,14.6007490637,12,12.1859561598
fr0003,Simenon,male,PorteFenetre,1978,1977,essay,autobiography,dicts,46029,2484,18.5301932367,16,11.9441591165
fr0004,Simenon,male,CaveGrenier,1977,1976,essay,autobiography,dicts,43861,2345,18.7040511727,16,13.4856254754
fr0005,Simenon,male,TracesPas,1975,1974,essay,autobiography,dicts,88954,5859,15.1824543437,13,10.2988287728
fr0006,Simenon,male,Destinees,1981,1979,essay,autobiography,dicts,42466,1872,22.6848290598,20,14.8264181725
fr0007,Simenon,male,JeMeSouviens,1945,1941,essay,autobiography,dicts,65969,4772,13.8241827326,10,12.5031386614
fr0008,Simenon,male,ResteEnfantChoeur,1979,1977,essay,autobiography,dicts,39693,2146,18.4962721342,17,11.8389013577
fr0009,Simenon,male,JourNuit,1981,1979,essay,autobiography,dicts,37888,1741,21.7622056289,21,13.5065570718
fr0010,Simenon,male,FemmeEndormie,1981,1979,essay,autobiography,dicts,37336,1673,22.3167961745,21,12.9940005934
fr0011,Simenon,male,MainDansMain,1978,1976,essay,autobiography,dicts,41396,2197,18.8420573509,16,12.5699172334
fr0012,Simenon,male,PrixHomme,1980,1978,essay,autobiography,dicts,44079,2209,19.9542779538,18,13.2578355945
fr0013,Simenon,male,LibertesReste,1981,1978,essay,autobiography,dicts,38122,1816,20.9922907489,20,12.5925186706
fr0014,Simenon,male,PetitsHommes,1976,1975,essay,autobiography,dicts,39230,2304,17.0269097222,15,11.9296318529
fr0015,Simenon,male,LettreMere,1974,1974,essay,autobiography,dicts,19050,1191,15.9949622166,14,10.618487821
fr0016,Simenon,male,SoixanteQuinzeAns,1980,1978,essay,autobiography,dicts,45064,2386,18.8868398994,17,12.3850531616
fr0017,Simenon,male,PointVirgule,1979,1977,essay,autobiography,dicts,48871,2645,18.4767485822,16,12.028633451
fr0018,Simenon,male,QuandEtaisVieux,1970,1963,essay,autobiography,dicts,122793,8955,13.7122278057,11,11.292929314
fr0019,Simenon,male,QuandVientFroid,1980,1978,essay,autobiography,dicts,39444,2193,17.9863201094,16,12.0557602053
fr0020,Simenon,male,TantVivant,1978,1976,essay,autobiography,dicts,42890,2116,20.2693761815,18,13.0810411226
fr0021,Simenon,male,BancSoleil,1977,1976,essay,autobiography,dicts,55516,2711,20.4780523792,18,14.0726948114
fr0022,Simenon,male,HommeCommeAutre,1975,1974,essay,autobiography,dicts,99486,6704,14.839797136,13,10.1536961283
fr0023,Simenon,male,VacancesObligatoires,1978,1976,essay,autobiography,dicts,43497,2342,18.572587532,16,13.0718170011
fr0024,Simenon,male,VentNordSud,1976,1975,essay,autobiography,dicts,57165,3072,18.6083984375,16,13.3872838758
rv0002,Simenon,male,HommePetitChien,1964,1964,novel,psychological,durs,46249,3502,13.2064534552,10,10.3734622504
rv0004,Simenon,male,OursPeluche,1960,1960,novel,psychological,durs,40746,2835,14.3724867725,11,11.111946857
rv0005,Simenon,male,JumentPerdue,1948,1948,novel,psychological,durs,54325,4185,12.9808841099,10,10.6659102636
rv0006,Simenon,male,MaisonSeptFilles,1941,1941,novel,psychological,durs,29412,3107,9.4663662697,7,8.6367012635
rv0008,Simenon,male,MortBelle,1952,1951,novel,policier,durs,48464,3525,13.7486524823,10,11.1480470077
rv0011,Simenon,male,Porte,1962,1962,novel,psychological,durs,39565,2911,13.5915492958,10,10.9845672965
