Indiscrets	Ag	INDISCRET
mouvements	Nc	MOUVEMENT
d'	S	DE
une	Dn	UN
amour	Nc	AMOUR
insensée	Ag	INSENSÉ
Ne	Vvc	Ne
sortirez	Vvc	SORTIR
-vous	Nc	-vous
point	Rg	POINT
de	S	DE
ma	Ds	MON
triste	Ag	TRISTE
pensée	Nc	PENSÉE
?	Fs	?
Le	Da	LE
funeste	Ag	FUNESTE
entretien	Nc	ENTRETIEN
de	S	DE
mes	Ds	MON
feux	Nc	FEU|FEUX
criminels	Ag	CRIMINEL
Ne	Vvc	Ne
me	Pp	JE
doit-il	Nc	doit-il
donner	Vvn	DONNER
que	Cs	QUE
des	Dn	UN
maux	Nc	MAL
éternels	Ag	ÉTERNEL
?	Fs	?
Était-il	Nc	Était-il
arrêté	Ge	ARRÊTER
qu'	Cs	QUE
une	Dn	UN
beauté	Nc	BEAUTÉ
fatale	Ag	FATAL
M'	Vvc	M'
échaufferait	Vvc	ÉCHAUFFER
le	Da	LE
sang	Nc	SANG
d'	S	DE
une	Dn	UN
flamme	Nc	FLAMME
brutale	Ag	BRUTAL
?	Fs	?
Et	Cc	ET
qu'	Cs	QUE
enfin	Rg	ENFIN
mon	Ds	MON
esprit	Nc	ESPRIT
infidèle	Ag	INFIDÈLE
à	S	À
son	Ds	SON
tour	Nc	TOUR
Trahirait	Vvc	TRAHIR
l'	Da	LE
amitié	Nc	AMITIÉ
pour	S	POUR
se	Pp	IL
rendre	Vvn	RENDRE
à	S	À
l'	Da	LE
amour	Nc	AMOUR
?	Fs	?
Cruelles	Ag	CRUEL
passions	Nc	PASSION
qui	Pr	QUI
mettez	Vvc	METTRE
dans	S	DANS
mon	Ds	MON
âme	Nc	ÂME
Les	Vvc	Les
froideurs	Nc	FROIDEUR
du	S+Da	DE+LE
respect	Nc	RESPECT
,	Fw	,
et	Cc	ET
l'	Da	LE
ardeur	Nc	ARDEUR
de	S	DE
la	Da	LE
flamme	Nc	FLAMME
,	Fw	,
Formez	Vvc	FORMER
de	S	DE
vos	Ds	VOTRE
pensers	Nc	pensers
froids	Ag	FROID
et	Cc	ET
chauds	Ag	CHAUD
en	S	EN
effet	Nc	EFFET
Un	Vvc	Un
foudre	Nc	FOUDRE
nécessaire	Ag	NÉCESSAIRE
à	S	À
punir	Vvn	PUNIR
mon	Ds	MON
forfait	Nc	FORFAIT
.	Fs	.
Puis	Vvc	POUVOIR
-je	Vvc	-je
aimer	Vvn	AIMER
d'	S	DE
un	Dn	UN
ami	Nc	AMI
la	Da	LE
moitié	Nc	MOITIÉ
légitime	Ag	LÉGITIME
Sans	Vvc	Sans
mériter	Vvn	MÉRITER
un	Dn	UN
feu	Nc	FEU
qui	Pr	QUI
punisse	Vvc	PUNIR
mon	Ds	MON
crime	Nc	CRIME
?	Fs	?
Amour	Nc	AMOUR
que	Cs	QUE
mon	Ds	MON
destin	Nc	DESTIN
se	Pp	IL
fait	Vvc	FAIRE
bien	Rg	BIEN
détester	Vvn	DÉTESTER
!	Fs	!
Je	Pp	JE
ne	Rp	NE
te	Pp	TU
puis	Vvc	POUVOIR
souffrir	Vvn	SOUFFRIR
,	Fw	,
et	Cc	ET
ne	Rp	NE
te	Pp	TU
puis	Vvc	POUVOIR
quitter	Vvn	QUITTER
:	Fw	:
Termine	Vvc	TERMINER
donc	Rg	DONC
les	Da	LE
jours	Nc	JOUR|JOURS
du	S+Da	DE+LE
malheureux	Ag	MALHEUREUX
Lisandre	Nc	Lisandre
,	Fw	,
Laisse	Vvc	LAISSER
-toi	Vvc	-toi
désormais	Rg	DÉSORMAIS
étouffer	Vvn	ÉTOUFFER
dans	S	DANS
ma	Ds	MON
cendre	Nc	CENDRE
,	Fw	,
Et	Vvc	Et
souffre	Vvc	SOUFFRIR
que	Cs	QUE
je	Pp	JE
meure	Vvc	MURER
avec	S	AVEC
ce	Dd	CE
plaisir	Nc	PLAISIR
D'	Vvc	D'
avoir	Vun	AVOIR
eu	Ge	AVOIR
sans	S	SANS
effet	Nc	EFFET
un	Dn	UN
si	Rg	SI
lâche	Ag	LÂCHE
désir	Nc	DÉSIR
.	Fs	.
Mais	Cc	MAIS
hélas	I	HÉLAS
c'	Pd	CE
est	Vuc	ÊTRE
en	S	EN
vain	Ag	VAIN
que	Cs	QUE
je	Pp	JE
conçois	Vvc	CONCEVOIR
l'	Da	LE
envie	Nc	ENVIE
De	Vvc	De
finir	Vvn	FINIR
dans	S	DANS
mes	Ds	MON
feux	Nc	FEU|FEUX
ma	Ds	MON
misérable	Ag	MISÉRABLE
vie	Nc	VIE
,	Fw	,
Ils	Vvc	Ils
tiennent	Vvc	TENIR
en	S	EN
ce	Dd	CE
point	Nc	POINT
de	S	DE
celui	Pd	CELUI
de	S	DE
l'	Da	LE
enfer	Nc	ENFER
Qu'	Vvc	Qu'
ils	Pp	ILS
me	Pp	JE
brûlent	Vvc	BRÛLER
toujours	Rg	TOUJOURS
sans	S	SANS
pouvoir	Nc	POUVOIR
m'	Pp	JE
étouffer	Vvn	ÉTOUFFER
.	Fs	.
Caliste	Nc	Caliste
est	Vuc	ÊTRE
dans	S	DANS
mon	Ds	MON
coeur	Nc	CUR
,	Fw	,
Cléandre	Nc	Cléandre
est	Vuc	ÊTRE
avec	S	AVEC
elle	Pp	IL
En	Vvc	En
danger	Nc	DANGER
de	S	DE
périr	Vvn	PÉRIR
dans	S	DANS
ma	Ds	MON
flamme	Nc	FLAMME
immortelle	Ag	IMMORTEL
,	Fw	,
Tantôt	Vvc	Tantôt
l'	Da	LE
amour	Nc	AMOUR
l'	Pp	IL
emporte	Vvc	EMPORTER
,	Fw	,
et	Cc	ET
tantôt	Rg	TANTÔT
l'	Da	LE
amitié	Nc	AMITIÉ
,	Fw	,
Quelquefois	Vvc	Quelquefois
leur	Ds	LEUR
accord	Nc	ACCORD
le	Pp	IL
divise	Vvc	DIVISER
à	S	À
moitié	Nc	MOITIÉ
:	Fw	:
Mais	Cc	MAIS
enfin	Rg	ENFIN
l'	Da	LE
amitié	Nc	AMITIÉ
n'	Rp	NE
y	Pp	Y
doit	Vvc	DEVOIR
