La	Pp	IL
sais	Vvc	SAVOIR
-tu	Vvn	-tu
bien	Rg	BIEN
Clarine	Vvc	Clarine
?	Fs	?
Ô	Nc	Ô
Ciel	Vvc	Ciel
!	Fs	!
Est-il	Nc	Est-il
possible	Ag	POSSIBLE
Qu'	Vvc	Qu'
Isabelle	Nc	Isabelle
pour	S	POUR
moi	Pp	JE
cesse	Vvc	CESSER
d'	S	DE
être	Vun	ÊTRE
insensible	Ag	INSENSIBLE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
cette	Dd	CE
Beauté	Nc	Beauté
ressente	Vvc	RESSENTIR
en	S	EN
ma	Ds	MON
faveur	Nc	FAVEUR
Le	Vvc	Le
feu	Nc	FEU
que	Cs	QUE
ses	Ds	SON
beaux	Ag	BEAU
yeux	Nc	OEIL|YEUX
ont	Vuc	AVOIR
fait	Ge	FAIRE
naître	Vvn	NAÎTRE
en	S	EN
mon	Ds	MON
cour	Nc	COUR
?	Fs	?
Je	Pp	JE
vous	Pp	VOUS
le	Pp	IL
dis	Vvc	DIRE
encore	Rg	ENCORE
;	Fw	;
oui	Ge	OUÏR
,	Fw	,
votre	Ds	VOTRE
amour	Nc	AMOUR
la	Da	LE
touche	Nc	TOUCHE
;	Fw	;
C'	Vvc	C'
est	Vuc	ÊTRE
une	Dn	UN
vérité	Nc	VÉRITÉ
que	Pr	QUE
j'	Pp	JE
ai	Vuc	AVOIR
su	Ge	SAVOIR
de	S	DE
sa	Ds	SON
bouche	Nc	BOUCHE
.	Fs	.
Je	Pp	JE
suis	Vuc	ÊTRE
fort	Rg	FORT
étonné	Ge	ÉTONNER
d'	S	DE
un	Dn	UN
succès	Nc	SUCCÈS
si	Rg	SI
charmant	Ga	CHARMER
.	Fs	.
Moi	Pp	JE
,	Fw	,
je	Pp	JE
m'	Pp	JE
étonne	Vvc	ÉTONNER
fort	Rg	FORT
de	S	DE
votre	Ds	VOTRE
étonnement	Nc	ÉTONNEMENT
.	Fs	.
Seigneur	Nc	SEIGNEUR
,	Fw	,
à	S	À
vos	Ds	VOTRE
plaisirs	Nc	PLAISIR
ne	Rp	NE
mettez	Vvc	METTRE
point	Rg	POINT
d'	S	DE
obstacle	Nc	OBSTACLE
;	Fw	;
Voir	Vvc	Voir
changer	Vvn	CHANGER
une	Dn	UN
fille	Nc	FILLE
,	Fw	,
est	Vuc	ÊTRE
-ce	Vvc	-ce
un	Dn	UN
si	Rg	SI
grand	Ag	GRAND
miracle	Nc	MIRACLE
?	Fs	?
Nous	Pp	NOUS
avons	Vuc	AVOIR
une	Dn	UN
pente	Nc	PENTE
à	S	À
changer	Vvn	CHANGER
,	Fw	,
tour-à-tour	Nc	tour-à-tour
.	Fs	.
Soit	Vuc	ÊTRE
ou	Cc	OU
l'	Da	LE
amour	Nc	AMOUR
en	S	EN
haine	Nc	HAINE
,	Fw	,
ou	Cc	OU
la	Da	LE
haine	Nc	HAINE
en	S	EN
amour	Nc	AMOUR
;	Fw	;
Et	Vvc	Et
lorsque	Cs	LORSQUE
notre	Ds	NOTRE
haine	Nc	HAINE
,	Fw	,
ou	Cc	OU
notre	Ds	NOTRE
amour	Nc	AMOUR
se	Pp	IL
change	Vvc	CHANGER
,	Fw	,
Un	Vvc	Un
effet	Nc	EFFET
si	Rg	SI
commun	Ag	COMMUN
doit	Vvc	DEVOIR
peu	Rg	PEU
sembler	Vvn	SEMBLER
étrange	Ag	ÉTRANGE
:	Fw	:
Isabelle	Nc	Isabelle
est	Vuc	ÊTRE
d'	S	DE
un	Dn	UN
âge	Nc	ÂGE
à	S	À
ressentir	Vvn	RESSENTIR
l'	Da	LE
effet	Nc	EFFET
Et	Vvc	Et
du	S+Da	DE+LE
feu	Nc	FEU
qu'	Pr	QUE
elle	Pp	IL
allume	Vvc	ALLUMER
,	Fw	,
et	Cc	ET
du	S+Da	DE+LE
mal	Nc	MAL
qu'	Pr	QUE
elle	Pp	IL
fait	Vvc	FAIRE
:	Fw	:
La	Da	LE
fin	Nc	FIN
de	S	DE
ses	Ds	SON
froideurs	Nc	FROIDEUR
ne	Rp	NE
vous	Pp	VOUS
doit	Vvc	DEVOIR
pas	Rg	PAS
surprendre	Vvn	SURPRENDRE
,	Fw	,
Qui	Vvc	Qui
donne	Vvc	DONNER
de	S	DE
l'	Da	LE
amour	Nc	AMOUR
peut	Vvc	POUVOIR
aisément	Rg	AISÉMENT
en	S	EN
prendre	Vvn	PRENDRE
,	Fw	,
Et	Vvc	Et
lorsqu'	Cs	LORSQUE
un	Dn	UN
jeune	Ag	JEUNE
cour	Nc	COUR
n'	Rp	NE
a	Vuc	AVOIR
jamais	Rg	JAMAIS
rien	Pi	RIEN
aimé	Ge	AIMER
,	Fw	,
Au	Vvc	Au
premier	Ag	PREMIER
feu	Nc	FEU
qui	Pr	QUI
brille	Vvc	BRILLER
il	Pp	IL
s'	Cs	SI
en	Pp	EN
trouve	Vvc	TROUVER
enflammé	Ge	ENFLAMMER
.	Fs	.
Ma	Ds	MON
maîtresse	Nc	MAÎTRE|MAÎTRESSE
est	Vuc	ÊTRE
sensible	Ag	SENSIBLE
autant	Rg	AUTANT
qu'	Cs	QUE
elle	Pp	IL
est	Vuc	ÊTRE
belle	Ag	BEAU
;	Fw	;
Et	Vvc	Et
vous	Pp	VOUS
serez	Vuc	ÊTRE
heureux	Ag	HEUREUX
si	Cs	SI
vous	Pp	VOUS
êtes	Vuc	ÊTRE
fidèle	Ag	FIDÈLE
.	Fs	.
Mais	Cc	MAIS
viens	Vvc	VENIR
-tu	Vvn	-tu
par	S	PAR
son	Ds	SON
ordre	Nc	ORDRE
.	Fs	.
À	Vvc	À
m'	Pp	JE
expliquer	Vvn	EXPLIQUER
sans	S	SANS
fard	Nc	FARD
Elle	Vvc	Elle
m'	Pp	JE
a	Vuc	AVOIR
commandé	Ge	COMMANDER
de	S	DE
parler	Vvn	PARLER
de	S	DE
ma	Ds	MON
part	Nc	PART
;	Fw	;
Mais	Vvc	Mais
votre	Ds	VOTRE
honnêteté	Nc	HONNÊTETÉ
m'	Pp	JE
oblige	Vvc	OBLIGER
à	S	À
vous	Pp	VOUS
tout	Pi	TOUT
dire	Vvn	DIRE
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
par	S	PAR
son	Ds	SON
ordre	Nc	ORDRE
exprès	Ag	EXPRÈS
que	Pr	QUE
je	Pp	JE
viens	Vvc	VENIR
vous	Pp	VOUS
instruire	Vvn	INSTRUIRE
Je	Vvc	Je
vous	Pp	VOUS
ai	Vuc	AVOIR
découvert	Ge	DÉCOUVRIR
un	Dn	UN
important	Nc	IMPORTANT
secret	Ag	SECRET
Mais	Vvc	Mais
,	Fw	,
pour	S	POUR
en	Pp	EN
profiter	Vvn	PROFITER
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
être	Vun	ÊTRE
discret	Ag	DISCRET
:	Fw	:
Pour	S	POUR
bien	Rg	BIEN
savoir	Vvn	SAVOIR
aimer	Vvn	AIMER
,	Fw	,
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
savoir	Vvn	SAVOIR
se	Pp	IL
taire	Vvn	TAIRE
.	Fs	.
Je	Pp	JE
pourrai	Vvc	POUVOIR
dire	Vvn	DIRE
,	Fw	,
au	S+Da	À+LE
moins	Nc	MOINS
,	Fw	,
mon	Ds	MON
bonheur	Nc	BONHEUR
à	S	À
son	Ds	SON
frère	Nc	FRÈRE
,	Fw	,
Notre	Nc	Notre
amitié	Nc	AMITIÉ
l'	Pp	IL
oblige	Vvc	OBLIGER
à	S	À
me	Pp	JE
favoriser	Vvn	FAVORISER
.	Fs	.
Et	Cc	ET
je	Pp	JE
me	Pp	JE
ferais	Vvc	FAIRE|FERRER
tort	Nc	TORT
de	S	DE
lui	Pp	IL
rien	Pi	RIEN
déguiser	Vvn	DÉGUISER
.	Fs	.
Ah	I	AH
!	Fs	!
C'	Pd	CE
est	Vuc	ÊTRE
ce	Pd	CE
que	Pr	QUE
surtout	Rg	SURTOUT
ma	Ds	MON
maîtresse	Nc	MAÎTRE|MAÎTRESSE
redoute	Vvc	REDOUTER
?	Fs	?
Loin	Rg	LOIN
de	S	DE
l'	Pp	IL
en	S	EN
avertir	Vvn	AVERTIR
,	Fw	,
craignez	Vvc	CRAINDRE
qu'	Cs	QUE
il	Pp	IL
ne	Rp	NE
s'	Pp	SE
en	Pp	EN
doute	Vvc	DOUTER
!	Fs	!
Ignorez	Vvc	IGNORER
-vous	Ag	-vous
encor	Nc	encor
que	Cs	QUE
son	Ds	SON
père	Nc	PÈRE
inhumain	Ag	INHUMAIN
Ne	Vvc	Ne
lui	Pp	IL
permettra	Vvc	PERMETTRE
pas	Rg	PAS
de	S	DE
vous	Pp	VOUS
donner	Vvn	DONNER
la	Da	LE
main	Nc	MAIN
:	Fw	:
Qu'	Cs	QUE
il	Pp	IL
veut	Vvc	VOULOIR
,	Fw	,
pour	S	POUR
soutenir	Vvn	SOUTENIR
l'	Da	LE
éclat	Nc	ÉCLAT
