Vraiment	Rg	VRAIMENT
,	Fw	,
vous	Pp	VOUS
tardez	Vvc	TARDER
bien	Rg	BIEN
à	S	À
me	Pp	JE
venir	Vvn	VENIR
trouver	Vvn	TROUVER
!	Fs	!
Don	Nc	DON
Philippe	Vvc	Philippe
,	Fw	,
Madame	Nc	MADAME
...	Fs	...
Eh	Nc	Eh
bien	Rg	BIEN
?	Fs	?
Vient	Vvc	VENIR
d'	S	DE
arriver	Vvn	ARRIVER
.	Fs	.
Ah	I	AH
!	Fs	!
ne	Rp	NE
me	Pp	JE
surprends	Vvc	SURPRENDRE
point	Rg	POINT
par	S	PAR
une	Dn	UN
fausse	Ag	FAUX
joie	Nc	JOIE
.	Fs	.
Il	Pp	IL
marche	Vvc	MARCHER
sur	S	SUR
mes	Ds	MON
pas	Nc	PAS
,	Fw	,
et	Cc	ET
de	S	DE
plus	Rg	PLUS
,	Fw	,
il	Pp	IL
m'	Pp	JE
envoie	Vvc	ENVOYER
...	Fs	...
Comment	Vvc	Comment
!	Fs	!
Il	Pp	IL
t'	Pp	TU
a	Vuc	AVOIR
parlé	Ge	PARLER
?	Fs	?
Si	Rg	SI
bien	Rg	BIEN
que	Cs	QUE
vous	Pp	VOUS
verrez	Vvc	VOIR
Si	Vvc	Si
je	Pp	JE
suis	Vuc	ÊTRE
véritable	Ag	VÉRITABLE
,	Fw	,
et	Cc	ET
si	Cs	SI
vous	Pp	VOUS
me	Pp	JE
croirez	Vvc	CROIRE
.	Fs	.
Il	Pp	IL
m'	Pp	JE
a	Vuc	AVOIR
dit	Ge	DIRE
qu'	Cs	QUE
il	Pp	IL
ne	Rp	NE
peut	Vvc	POUVOIR
supporter	Vvn	SUPPORTER
votre	Ds	VOTRE
absence	Nc	ABSENCE
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
a	Vuc	AVOIR
quitté	Ge	QUITTER
Madrid	Nc	Madrid
avec	S	AVEC
diligence	Nc	DILIGENCE
,	Fw	,
Que	Vvc	Que
de	S	DE
voir	Vvn	VOIR
sa	Ds	SON
maîtresse	Nc	MAÎTRE|MAÎTRESSE
il	Pp	IL
veut	Vvc	VOULOIR
avoir	Vun	AVOIR
l'	Da	LE
honneur	Nc	HONNEUR
,	Fw	,
Avant	Ga	Avant
que	Cs	QUE
de	S	DE
parler	Vvn	PARLER
à	S	À
notre	Ds	NOTRE
gouverneur	Nc	GOUVERNEUR
.	Fs	.
Lucie	Nc	Lucie
,	Fw	,
une	Dn	UN
sueur	Nc	SUEUR
me	Pp	JE
couvre	Vvc	COUVRIR
le	Da	LE
visage	Nc	VISAGE
,	Fw	,
Qui	Vvc	Qui
,	Fw	,
si	Cs	SI
je	Pp	JE
ne	Rp	NE
me	Pp	JE
trompe	Vvc	TROMPER
,	Fw	,
est	Vuc	ÊTRE
de	Dn	UN
mauvais	Ag	MAUVAIS
présage	Nc	PRÉSAGE
.	Fs	.
Madame	Nc	MADAME
,	Fw	,
laissez	Vvc	LAISSER
là	Rg	LÀ
la	Da	LE
superstition	Nc	SUPERSTITION
,	Fw	,
Et	Vvc	Et
songez	Vvc	SONGER
seulement	Rg	SEULEMENT
à	S	À
la	Da	LE
réception	Nc	RÉCEPTION
Que	Vvc	Que
vous	Pp	VOUS
lui	Pp	IL
devez	Vvc	DEVOIR
faire	Vvn	FAIRE
;	Fw	;
après	S	APRÈS
tout	Pi	TOUT
,	Fw	,
il	Pp	IL
me	Pp	JE
semble	Vvc	SEMBLER
Que	Vvc	Que
vous	Pp	VOUS
vous	Pp	VOUS
préparez	Vvc	PRÉPARER
fort	Rg	FORT
mal	Rg	MAL
...	Fs	...
Hélas	Vvc	Hélas
!	Fs	!
je	Pp	JE
tremble	Vvc	TREMBLER
,	Fw	,
Je	Vvc	Je
suis	Vuc	ÊTRE
toute	Rg	TOUTE
interdite	Ge	INTERDIRE
,	Fw	,
et	Cc	ET
je	Pp	JE
ne	Rp	NE
sais	Vvc	SAVOIR
comment	Pt	COMMENT
Je	Nc	Je
pourrai	Vvc	POUVOIR
,	Fw	,
sans	S	SANS
rougir	Vvn	ROUGIR
,	Fw	,
l'	Pp	IL
aborder	Vvn	ABORDER
seulement	Rg	SEULEMENT
.	Fs	.
Comment	Rt	COMMENT
?	Fs	?
Quitter	Vvn	QUITTER
la	Da	LE
cour	Nc	COUR
,	Fw	,
venir	Vvn	VENIR
à	S	À
toute	Di	TOUT
bride	Nc	BRIDE
,	Fw	,
Ne	Vvc	Ne
prendre	Vvn	PRENDRE
que	Cs	QUE
l'	Da	LE
amour	Nc	AMOUR
pour	S	POUR
escorte	Nc	ESCORTE
et	Cc	ET
pour	S	POUR
guide	Nc	GUIDE
,	Fw	,
À	Nc	À
vous	Pp	VOUS
voir	Vvn	VOIR
seulement	Rg	SEULEMENT
borner	Vvn	BORNER
tous	Di	TOUT
ses	Ds	SON
plaisirs	Nc	PLAISIR
,	Fw	,
Et	Vvc	Et
vous	Pp	VOUS
lui	Pp	IL
répondrez	Vvc	RÉPONDRE
de	S	DE
pleurs	Nc	PLEUR
et	Cc	ET
de	S	DE
soupirs	Nc	SOUPIR
!	Fs	!
Pour	S	POUR
te	Pp	TU
dire	Vvn	DIRE
le	Da	LE
vrai	Ag	VRAI
,	Fw	,
ton	Ds	TON
début	Nc	DÉBUT
m'	Pp	JE
a	Vuc	AVOIR
surprise	Ge	SURPRENDRE
,	Fw	,
Lucie	Vvc	Lucie
;	Fw	;
attends	Vvc	ATTENDRE
un	Dn	UN
peu	Rg	PEU
que	Cs	QUE
je	Pp	JE
me	Pp	JE
sois	Vuc	ÊTRE
remise	Nc	REMISE
:	Fw	:
Quand	Cs	QUAND
je	Pp	JE
me	Pp	JE
ressouviens	Vvc	RESSOUVENIR
,	Fw	,
quoiqu'il	Cs	quoiqu'il
fut	Vuc	ÊTRE
éloigné	Ge	ÉLOIGNER
