,idno,author-name,author-gender,title,year,supergenre,genre,genre-subtitle,availability,subgenre,form,decade
nh0002,nh0002,Payro,male,Moreira,1910,narrative,novel,n.av.,free,non-historical,prose,1910
nh0003,nh0003,Payro,male,Laucha,1906,narrative,short novel,n.av.,free,non-historical,prose,1900
nh0004,nh0004,Payro,male,Inca,1905,narrative,novel,n.av.,free,historical,prose,1900
nh0005,nh0005,Altamirano,male,Navidad,1871,narrative,short novel,n.av.,free,non-historical,prose,1870
nh0006,nh0006,Altamirano,male,Clemencia,1869,narrative,novel,n.av.,restricted,non-historical,prose,1860
nh0007,nh0007,Altamirano,male,Zarco,1901,narrative,novel,episodio de la vida mexicana en 1861-63,restricted,historical,prose,1900
nh0016,nh0016,Calcagno,male,Romualdo,1881,narrative,novel,Uno de tantos,restricted,non-historical,prose,1880
nh0021,nh0021,Frias,male,Miserias,1916,narrative,novel,Novela,free,non-historical,prose,1910
nh0022,nh0022,Frias,male,Tomochic,1895,narrative,novel,Novela histórica mexicana,free,historical,prose,1890
nh0066,nh0066,Altamirano,male,Antonia,1872,narrative,short novel,n.av.,restricted,non-historical,prose,1870
nh0072,nh0072,Altamirano,male,Julia,1870,narrative,novel,n.av.,restricted,non-historical,prose,1870
nh0074,nh0074,Calcagno,male,LasLazo,1893,narrative,novel,n.av.,restricted,historical,prose,1890
nh0091,nh0091,Calcagno,male,DonEnriquito,1895,narrative,novel,Novela histórica cubana,free,historical,prose,1890
nh0113,nh0113,GomezAvellaneda,female,Sab,1841,narrative,novel,Novela original,restricted,non-historical,prose,1840
nh0115,nh0115,GomezAvellaneda,female,Guatimozin,1846,narrative,novel,novela histórica,restricted,historical,prose,1840
nh0116,nh0116,GomezAvellaneda,female,VeladaHelecho,1845,narrative,novel,n.av.,restricted,historical,prose,1840
nh0123,nh0123,Frias,male,Realidades,1896,narrative,short novel,n.av.,free,non-historical,prose,1890
nh0152,nh0152,Paz,male,Juarez,1902,narrative,novel,Undécima leyenda histórica,restricted,historical,prose,1900
nh0156,nh0156,Paz,male,PiedraSacrificio,1871,narrative,novel,n.av.,restricted,non-historical,prose,1870
nh0162,nh0162,Paz,male,AmorDeViejo,1874,narrative,novel,Novela original,restricted,non-historical,prose,1870
nh0168,nh0168,GomezAvellaneda,female,Dolores,1851,narrative,novel,n.av.,restricted,historical,prose,1850
